statusId,status,raceId,circuitId,circuitName,year,teamId,teamName,resultId,driverId,position,total_time
1,Finished,8.0,9.0,British Grand Prix,2009.0,23.0,Brawn,7699.0,18.0,6,5015613
1,Finished,9.0,20.0,German Grand Prix,2009.0,1.0,McLaren,7721.0,5.0,8,5862002
1,Finished,9.0,20.0,German Grand Prix,2009.0,2.0,BMW Sauber,7723.0,2.0,10,5865235
1,Finished,9.0,20.0,German Grand Prix,2009.0,2.0,BMW Sauber,7727.0,9.0,14,5872865
1,Finished,9.0,20.0,German Grand Prix,2009.0,3.0,Williams,7717.0,3.0,4,5824409
1,Finished,9.0,20.0,German Grand Prix,2009.0,3.0,Williams,7725.0,6.0,12,5866186
1,Finished,9.0,20.0,German Grand Prix,2009.0,4.0,Renault,7720.0,4.0,7,5828198
1,Finished,9.0,20.0,German Grand Prix,2009.0,4.0,Renault,7726.0,12.0,13,5871638
1,Finished,9.0,20.0,German Grand Prix,2009.0,5.0,Toro Rosso,7729.0,67.0,16,5893535
1,Finished,9.0,20.0,German Grand Prix,2009.0,6.0,Ferrari,7716.0,13.0,3,5819216
1,Finished,9.0,20.0,German Grand Prix,2009.0,7.0,Toyota,7722.0,10.0,9,5864767
1,Finished,9.0,20.0,German Grand Prix,2009.0,7.0,Toyota,7730.0,15.0,17,5894280
1,Finished,9.0,20.0,German Grand Prix,2009.0,9.0,Red Bull,7714.0,17.0,1,5803310
1,Finished,9.0,20.0,German Grand Prix,2009.0,9.0,Red Bull,7715.0,20.0,2,5812562
1,Finished,9.0,20.0,German Grand Prix,2009.0,10.0,Force India,7724.0,21.0,11,5865637
1,Finished,9.0,20.0,German Grand Prix,2009.0,10.0,Force India,7728.0,16.0,15,5875251
1,Finished,9.0,20.0,German Grand Prix,2009.0,23.0,Brawn,7718.0,18.0,5,5826919
1,Finished,9.0,20.0,German Grand Prix,2009.0,23.0,Brawn,7719.0,22.0,6,5827778
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,1.0,McLaren,7734.0,1.0,1,5903876
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,1.0,McLaren,7738.0,5.0,5,5938268
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,2.0,BMW Sauber,7744.0,2.0,11,5974488
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,2.0,BMW Sauber,7746.0,9.0,13,5977922
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,3.0,Williams,7737.0,3.0,4,5930843
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,3.0,Williams,7742.0,6.0,9,5972650
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,4.0,Renault,7745.0,12.0,12,5975388
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,6.0,Ferrari,7735.0,8.0,2,5915405
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,7.0,Toyota,7739.0,10.0,6,5939113
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,7.0,Toyota,7741.0,15.0,8,5972048
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,9.0,Red Bull,7736.0,17.0,3,5920762
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,23.0,Brawn,7740.0,18.0,7,5958964
1,Finished,10.0,11.0,Hungarian Grand Prix,2009.0,23.0,Brawn,7743.0,22.0,10,5973132
1,Finished,11.0,12.0,European Grand Prix,2009.0,1.0,McLaren,7755.0,1.0,2,5753647
1,Finished,11.0,12.0,European Grand Prix,2009.0,1.0,McLaren,7757.0,5.0,4,5771321
1,Finished,11.0,12.0,European Grand Prix,2009.0,2.0,BMW Sauber,7761.0,9.0,8,5787956
1,Finished,11.0,12.0,European Grand Prix,2009.0,2.0,BMW Sauber,7764.0,2.0,11,5800111
1,Finished,11.0,12.0,European Grand Prix,2009.0,3.0,Williams,7758.0,3.0,5,5772159
1,Finished,11.0,12.0,European Grand Prix,2009.0,4.0,Renault,7759.0,4.0,6,5779033
1,Finished,11.0,12.0,European Grand Prix,2009.0,4.0,Renault,7768.0,154.0,15,5843063
1,Finished,11.0,12.0,European Grand Prix,2009.0,6.0,Ferrari,7756.0,8.0,3,5767283
1,Finished,11.0,12.0,European Grand Prix,2009.0,7.0,Toyota,7766.0,15.0,13,5815816
1,Finished,11.0,12.0,European Grand Prix,2009.0,7.0,Toyota,7767.0,10.0,14,5837808
1,Finished,11.0,12.0,European Grand Prix,2009.0,9.0,Red Bull,7762.0,17.0,9,5796199
1,Finished,11.0,12.0,European Grand Prix,2009.0,10.0,Force India,7763.0,16.0,10,5799224
1,Finished,11.0,12.0,European Grand Prix,2009.0,10.0,Force India,7765.0,21.0,12,5814903
1,Finished,11.0,12.0,European Grand Prix,2009.0,23.0,Brawn,7754.0,22.0,1,5751289
1,Finished,11.0,12.0,European Grand Prix,2009.0,23.0,Brawn,7760.0,18.0,7,5786202
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,1.0,McLaren,7779.0,5.0,6,5063758
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,2.0,BMW Sauber,7777.0,9.0,4,5040961
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,2.0,BMW Sauber,7778.0,2.0,5,5042271
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,3.0,Williams,7781.0,3.0,8,5067203
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,3.0,Williams,7786.0,6.0,13,5085236
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,5.0,Toro Rosso,7785.0,67.0,12,5077101
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,6.0,Ferrari,7774.0,8.0,1,5030995
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,6.0,Ferrari,7787.0,69.0,14,5133172
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,7.0,Toyota,7783.0,10.0,10,5072485
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,9.0,Red Bull,7776.0,20.0,3,5034870
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,9.0,Red Bull,7782.0,17.0,9,5067954
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,10.0,Force India,7775.0,21.0,2,5031934
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,10.0,Force India,7784.0,16.0,11,5073631
1,Finished,12.0,13.0,Belgian Grand Prix,2009.0,23.0,Brawn,7780.0,22.0,7,5066456
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,1.0,McLaren,7799.0,5.0,6,4642399
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,2.0,BMW Sauber,7800.0,2.0,7,4664118
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,3.0,Williams,7803.0,6.0,10,4743869
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,4.0,Renault,7798.0,4.0,5,4640888
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,6.0,Ferrari,7796.0,8.0,3,4612370
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,6.0,Ferrari,7802.0,21.0,9,4668562
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,7.0,Toyota,7804.0,10.0,11,4745631
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,9.0,Red Bull,7801.0,20.0,8,4667113
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,10.0,Force India,7797.0,16.0,4,4612837
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,23.0,Brawn,7794.0,22.0,1,4581706
1,Finished,13.0,14.0,Italian Grand Prix,2009.0,23.0,Brawn,7795.0,18.0,2,4584572
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,1.0,McLaren,7814.0,1.0,1,6966337
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,1.0,McLaren,7820.0,5.0,7,7002494
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,2.0,BMW Sauber,7821.0,9.0,8,7021391
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,3.0,Williams,7822.0,6.0,9,7022391
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,3.0,Williams,7824.0,3.0,11,7026114
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,4.0,Renault,7816.0,4.0,3,6982961
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,6.0,Ferrari,7823.0,8.0,10,7025229
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,6.0,Ferrari,7826.0,21.0,13,7046227
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,7.0,Toyota,7815.0,10.0,2,6975971
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,7.0,Toyota,7825.0,15.0,12,7039346
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,9.0,Red Bull,7817.0,20.0,4,6986958
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,10.0,Force India,7827.0,24.0,14,7059839
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,23.0,Brawn,7818.0,18.0,5,6996352
1,Finished,14.0,15.0,Singapore Grand Prix,2009.0,23.0,Brawn,7819.0,22.0,6,6998195
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,1.0,McLaren,7836.0,1.0,3,5306915
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,1.0,McLaren,7844.0,5.0,11,5314178
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,2.0,BMW Sauber,7839.0,2.0,6,5309952
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,2.0,BMW Sauber,7842.0,9.0,9,5312220
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,3.0,Williams,7838.0,3.0,5,5309236
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,3.0,Williams,7848.0,6.0,15,5318416
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,4.0,Renault,7843.0,4.0,10,5313508
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,6.0,Ferrari,7837.0,8.0,4,5308383
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,6.0,Ferrari,7845.0,21.0,12,5315039
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,7.0,Toyota,7835.0,15.0,2,5305320
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,9.0,Red Bull,7834.0,20.0,1,5300443
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,10.0,Force India,7846.0,16.0,13,5315402
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,10.0,Force India,7847.0,24.0,14,5316177
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,23.0,Brawn,7840.0,22.0,7,5311084
1,Finished,15.0,22.0,Japanese Grand Prix,2009.0,23.0,Brawn,7841.0,18.0,8,5311917
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,1.0,McLaren,7856.0,1.0,3,5562025
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,1.0,McLaren,7862.0,5.0,9,5591580
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,2.0,BMW Sauber,7855.0,9.0,2,5550707
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,5.0,Toro Rosso,7860.0,67.0,7,5579072
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,6.0,Ferrari,7859.0,8.0,6,5576421
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,6.0,Ferrari,7864.0,21.0,11,5613746
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,7.0,Toyota,7863.0,155.0,10,5606405
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,9.0,Red Bull,7854.0,17.0,1,5543081
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,9.0,Red Bull,7857.0,20.0,4,5562733
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,10.0,Force India,7865.0,24.0,12,5614469
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,23.0,Brawn,7858.0,18.0,5,5572086
1,Finished,16.0,18.0,Brazilian Grand Prix,2009.0,23.0,Brawn,7861.0,22.0,8,5588535
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,1.0,McLaren,16077.0,5.0,11,5696212
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,2.0,BMW Sauber,16071.0,2.0,5,5669667
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,2.0,BMW Sauber,16076.0,9.0,10,5691594
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,3.0,Williams,16075.0,3.0,9,5689355
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,3.0,Williams,16079.0,6.0,13,5703253
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,4.0,Renault,16080.0,4.0,14,5713101
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,5.0,Toro Rosso,16074.0,67.0,8,5684708
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,6.0,Ferrari,16078.0,8.0,12,5697731
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,7.0,Toyota,16072.0,155.0,6,5671757
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,7.0,Toyota,16073.0,15.0,7,5677780
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,9.0,Red Bull,16067.0,20.0,1,5643414
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,9.0,Red Bull,16068.0,17.0,2,5661271
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,10.0,Force India,16081.0,24.0,15,5737864
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,23.0,Brawn,16069.0,18.0,3,5661881
1,Finished,17.0,24.0,Abu Dhabi Grand Prix,2009.0,23.0,Brawn,16070.0,22.0,4,5666149
1,Finished,18.0,1.0,Australian Grand Prix,2008.0,1.0,McLaren,1.0,1.0,1,5690616
1,Finished,18.0,1.0,Australian Grand Prix,2008.0,1.0,McLaren,5.0,5.0,5,5708630
